objectid,pghdb_sde_zoning_area,perimeter,zoning,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_area,shape_length
46,1129562.02264144,4973.83494427,45,45,P,4973.83494427,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,6997d3bd-4439-4bd7-84cf-f14845b0c8e0,,,,,1129562.0227356,4973.83494427114
47,73009.49926539,1307.68560607,46,46,R1D-L,1307.68560607,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,3c3f41a3-880d-4ad0-afdd-ee67547a4f08,,,,,73009.4993286133,1307.68560604902
48,137238.16398275,2200.68508499,47,47,LNC,2200.68508499,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,bba55547-a315-4402-9840-6bd20d415ddc,,,,,137238.16394043,2200.68508495376
49,61011.31518391,1130.5288563,48,48,AP,1130.5288563,,RESIDENTIAL/COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,94f1a5b1-83b6-4d9d-8fce-189cc723cb60,,,,,61011.3151245117,1130.52885628098
50,578567.16327936,3970.14458333,49,49,R1D-M,3970.14458333,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,1276de63-4444-4f04-977e-b0fbacc9a352,,,,,578567.163726807,3970.14458331008
51,93398.63866436,1219.92565054,50,50,HC,1219.92565054,,HIGHWAY COMMERCIAL,Highway Commercial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.05HC*,Approved,c0626e51-ec83-4e7c-965f-c6aedda23d5c,,,,,93398.6386413574,1219.92565053996
52,1066733.45499725,5237.43152065,53,53,R1D-H,5237.43152065,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,c26b1f35-a949-4985-b23f-81b10f26c33d,,,,,1066733.45504761,5237.43152066133
53,297875.71682513,4175.17421354,54,54,P,4175.17421354,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,08d2ca14-209b-44cd-8292-c2964584ce21,,,,,297875.716827393,4175.17421357214
54,4661720.17331459,19132.0294344,55,55,R1D-H,19081.4869017,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,21042066-ad81-4460-bf73-4787c7c9fa55,,,,,4661720.17324829,19132.0294345436
55,3329780.14965385,24117.98493606,56,56,HC,24117.9849361,,HIGHWAY COMMERCIAL,Highway Commercial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.05HC*,Approved,35adfe7c-590e-4535-b96e-49dd24fa81b2,,,,,3329780.14956665,24117.9849360889
